13,BRANCH,SERVICE HOURS,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,BRANCH EMAIL,LAT,LNG,LAT_CLEAN,LNG_CLEAN
"-87.6739,41.6920",Walker,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11071 S. Hoyne Ave.,Chicago,IL,60643,(312) 747-1920,https://www.chipublib.org/locations/72/,walker@chipublib.org,(41.69198346617567,-87.6739093032301),41.69198347,-87.6739093
"-87.7136,41.9756",Albany Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3401 W. Foster Ave.,Chicago,IL,60625,(773) 539-5450,https://www.chipublib.org/locations/3/,albanypark@chipublib.org,(41.97557881655979,-87.71361314512697),41.97557882,-87.71361315
"-87.5860,41.7464",Avalon,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8148 S. Stony Island Ave.,Chicago,IL,60617,(312) 747-5234,https://www.chipublib.org/locations/8/,avalon@chipublib.org,(41.746393038286826,-87.5860053710736),41.74639304,-87.58600537
"-87.6577,41.7324",Brainerd,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1350 W. 89th St.,Chicago,IL,60620,(312) 747-6291,https://www.chipublib.org/locations/13/,brainerd@chipublib.org,(41.73244482025524,-87.65772892721816),41.73244482,-87.65772893
"-87.7547,41.9388",Portage-Cragin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5108 W. Belmont Ave.,Chicago,IL,60641,(312) 744-0152,https://www.chipublib.org/locations/58/,portage-cragin@chipublib.org,(41.93883597361448,-87.75467117455794),41.93883597,-87.75467117
"-87.6607,41.8695",Little Italy,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1336 W. Taylor St.,Chicago,IL,60607,(312) 746-5656,https://www.chipublib.org/locations/62/,littleitaly@chipublib.org,(41.86946341218242,-87.66072612668584),41.86946341,-87.66072613
"-87.7621,41.9972",Edgebrook,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5331 W. Devon Ave.,Chicago,IL,60646,(312) 744-8313,https://www.chipublib.org/locations/27/,edgebrook@chipublib.org,(41.997213372156295,-87.76211751799003),41.99721337,-87.76211752
"-87.6374,41.7820",Kelly,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6151 S. Normal Blvd.,Chicago,IL,60621,(312) 747-8418,https://www.chipublib.org/locations/40/,kellylibrary@chipublib.org,(41.78202569697298,-87.63738794358196),41.7820257,-87.63738794
"-87.6604,41.9910",Edgewater,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6000 N. Broadway St.,Chicago,IL,60660,(312) 742-1945,https://www.chipublib.org/locations/28/,edgewater@chipublib.org,(41.99095923823291,-87.660442745415),41.99095924,-87.66044275
"-87.7690,41.9094",North Austin,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5724 W. North Ave.,Chicago,IL,60639,(312) 746-4233,https://www.chipublib.org/locations/54/,northaustin@chipublib.org,(41.909444834238485,-87.76898326931509),41.90944483,-87.76898327
"-87.6426,41.8163",Canaryville,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",642 W. 43rd St.,Chicago,IL,60609,(312) 747-0644,https://www.chipublib.org/locations/17/,canaryville@chipublib.org,(41.81634394084193,-87.64256827550598),41.81634394,-87.64256828
"-87.6463,41.8328","Daley, Richard J.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3400 S. Halsted St.,Chicago,IL,60608,(312) 747-8990,https://www.chipublib.org/locations/23/,daley@chipublib.org,(41.8327976771251,-87.64629980794813),41.83279768,-87.64629981
"-87.6792,41.8811",Manning,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6 S. Hoyne Ave.,Chicago,IL,60612,(312) 746-6800,https://www.chipublib.org/locations/48/,manning@chipublib.org,(41.88108555559726,-87.67923504553734),41.88108556,-87.67923505
"-87.6181,41.6944",Pullman,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11001 S. Indiana Ave.,Chicago,IL,60628,(312) 747-2033,https://www.chipublib.org/locations/59/,pullman@chipublib.org,(41.69436481773882,-87.6181414059763),41.69436482,-87.61814141
"-87.6150,41.7510","Whitney M. Young, Jr.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",415 East 79th St.,Chicago,IL,60619,(312) 747-0039,https://www.chipublib.org/locations/80/,whitneyyoung@chipublib.org,(41.7510184591363,-87.61495065361933),41.75101846,-87.61495065
"-87.6005,41.7624",Greater Grand Crossing,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1000 E. 73rd St.,Chicago,IL,60619,(312) 745-1608,https://www.chipublib.org/locations/32/,greatergrandcrossing@chipublib.org,(41.76239541819689,-87.60051216643727),41.76239542,-87.60051217
"-87.6550,41.7948",Sherman Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5440 S. Racine Ave.,Chicago,IL,60609,(312) 747-0477,https://www.chipublib.org/locations/64/,shermanpark@chipublib.org,(41.79476901885989,-87.65502837616037),41.79476902,-87.65502838
"-87.5988,41.6572",Altgeld,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",955 E. 131st St.,Chicago,IL,60827,(312) 747-3270,https://www.chipublib.org/locations/4/,altgeld@chipublib.org,(41.65719847558056,-87.59883829075173),41.65719848,-87.59883829
"-87.7237,41.7788",West Lawn,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4020 W. 63rd St.,Chicago,IL,60636,(312) 747-7381,https://www.chipublib.org/locations/77/,westlawn@chipublib.org,(41.77875389246921,-87.72374295317714),41.77875389,-87.72374295
"-87.6776,41.8084",Back of the Yards,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2111 W. 47th St.,Chicago,IL,60609,(312) 747-9595,https://www.chipublib.org/locations/9/,backoftheyards@chipublib.org,(41.808384423666354,-87.67756963874196),41.80838442,-87.67756964
"-87.7244,41.7493",Scottsdale,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4101 W. 79th St.,Chicago,IL,60652,(312) 747-0193,https://www.chipublib.org/locations/63/,scottsdale@chipublib.org,(41.74928543110801,-87.72440869132882),41.74928543,-87.72440869
"-87.7801,41.7929",Garfield Ridge,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6348 S. Archer Ave.,Chicago,IL,60638,(312) 747-6094,https://www.chipublib.org/locations/31/,garfieldridge@chipublib.org,(41.792915800399726,-87.78013459023622),41.7929158,-87.78013459
"-87.6175,41.8318",King,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3436 S. King Dr.,Chicago,IL,60616,(312) 747-7543,https://www.chipublib.org/locations/41/,king@chipublib.org,(41.83175130060517,-87.61747228078738),41.8317513,-87.61747228
"-87.6234,41.8975",Water Works,"Mon.- Thurs., 10-6 Fri. & Sat., 9-5; Sun., 1-5",163 E. Pearson St.,Chicago,IL,60611,(312) 742-8811,https://www.chipublib.org/locations/73/,waterworks@chipublib.org,(41.897484072390675,-87.62337776811282),41.89748407,-87.62337777
