BRANCH,Walker,Albany Park,Avalon,Brainerd,Portage-Cragin,Little Italy,Edgebrook,Kelly,Edgewater,North Austin,Canaryville,"Daley, Richard J.",Manning,Pullman,"Whitney M. Young, Jr.",Greater Grand Crossing,Sherman Park,Altgeld,West Lawn,Back of the Yards,Scottsdale,Garfield Ridge,King,Water Works,"Daley, Richard M.",Humboldt Park,Thurgood Marshall,Blackstone,North Pulaski,West Town,Budlong Woods,Lincoln Park,West Englewood,Archer Heights,Hegewisch,Independence,Lozano,Sulzer Regional Library,Chinatown,Douglass,Logan Square,Rogers Park,Galewood-Mont Clare,West Belmont,Bucktown-Wicker Park,Northtown,Merlo,West Pullman,Beverly,Legler Regional,Toman,Austin,Wrightwood-Ashburn,Jefferson Park,McKinley Park,South Shore,Clearing,Mount Greenwood,Uptown,Chicago Lawn,Harold Washtington Library Center,Brighton Park,West Chicago Avenue,Little Village,Lincoln Belmont,Gage Park,Oriole Park,Dunning,Bezazian,West Loop,Roden,Jeffery Manor,Hall,Near North,Coleman,Austin-Irving,Woodson Regional Library,Mayfair,Chicago Bee,Vodak-East Side,South Chicago
Walker,0,9181.4,3004.8,1501.5,8938.9,5672.7,10611,3069.3,9104.7,8318.9,3962.6,4360.4,6337.2,1538.4,2546.3,3163.9,3347,2609.1,3502,3802.7,2834.8,5275.6,4863.3,6825,6927.2,7612.2,2262.3,4523.4,7687.2,6617.7,9161.3,7126.8,2939.5,4256,3770.5,8753.3,5279.4,8317.9,5095.6,5962.2,7695.9,9393,9258.1,9303.4,7019.8,9588.5,7466.6,1174,1060.6,6695.9,5667.1,7717.6,1990.4,9520.9,4527.3,3917.9,4723.4,746.3,8026.5,3505.6,5876.3,4398.7,7508.1,5454.9,7617.4,3592.7,10967.1,10065.8,8522,5957.4,10606.5,3537.6,4079.9,6739.9,3443.5,9596.7,1388.1,9304.3,4690.5,1534.9,3624.4
Albany Park,9224.6,0,8278,7876.5,1908.1,3747.3,1795.2,6377.5,1504.6,3023.5,5373.3,4844.9,3037.6,9213.6,7635.5,7535.5,6171.4,10708.9,6104,5430.9,7176.1,6782,5369,3382.3,2358.5,1972.9,7158.9,6567.2,2306.4,2867.1,708.3,2129.1,6502,5388.1,11291.4,827.8,4041.5,925.2,4471.8,3285.7,1652.8,1747.5,3291.2,2550.1,2133.7,1323.9,2091.4,9416.9,8545.5,3198.4,4180.8,3549.7,7447.1,1194.7,4537.3,7830.9,7223.1,8949.3,1691.9,6062.9,3831,4874.8,3048.2,3720.4,1639.4,5515.4,2598.1,2961,1374.6,3404.1,2223.6,9379.4,6003.1,2956.9,6972.7,1991.1,8343.3,723.3,5408.9,9052.1,9027.9
Avalon,2999.6,8457.4,0,1755.6,8214.9,4967.4,9887,2093.8,8418.1,8165.9,3140.5,3642.7,5625.6,2226.3,803.8,763.2,2837.4,3319.7,3795.7,3660.2,3517.3,5568,3046.6,5355.4,6553.1,6822,1843,2031.7,7499.8,5893.7,8437.3,6442.2,2767.4,4560,3096.1,8029.3,4567.8,7593.9,3985.5,5817.2,6971.9,8706.4,9105.1,8801.6,6295.8,8864.5,6798.7,3206.8,2406.5,6540,5594.5,7564.6,2875,8796.9,4246.3,1010.4,5015.8,3577.8,7358.6,3484.9,4562.5,4377,7355.1,5348.9,6984,3571,10243.1,9513,7835.4,5233.4,9882.5,1280.2,2432.8,5645.6,1318,8872.7,1954.9,8580.3,3100.6,1927,1011.5
Brainerd,1481.5,7906.1,1794.2,0,7663.6,4397.4,9335.7,1845.2,7829.4,7106.8,2694.9,3085.1,5061.9,1941,1335.7,1953.3,1973.9,3146.6,2620.5,2497.6,2047.8,4393,3621.8,5549.7,5512.8,6336.9,836.4,3312.8,6457.3,5342.4,7886,5851.5,1594.3,3384,4408.7,7478,4004.1,7042.6,3820.3,4725,6420.6,8117.7,8046,8091.3,5744.5,8313.2,6191.3,1761.2,677.3,5469.3,4470.4,6505.5,1405.5,8245.6,3070.1,2707.3,3840.8,2040.1,6751.2,2308.9,4601,3202,6296,4287.2,6342.1,2396,9691.8,8961.7,7246.7,4682.1,9331.2,2838.8,2838.4,5464.6,2232.9,8321.4,895.4,8029,3415.2,1779.3,2713.1
Portage-Cragin,8793.7,1909.8,8137.3,7697.8,0,3568.6,2010.3,6198.8,3363.4,1147.4,5194.6,4666.2,2858.9,9034.9,7494.8,7394.8,5992.7,10530.2,5262.1,5300.2,6334.2,5153.5,5228.3,3676.9,2200.4,1814.8,6980.2,6426.5,1259.1,2688.4,2584.9,2430.4,6371.3,4546.2,11191.5,1328.8,3862.8,2170.8,4293.1,2962.9,1471.8,3624.1,1454.2,773.5,1955,3200.5,2382.6,9238.2,7935.4,2328.4,3318,1673.6,7206.6,960.3,4722.7,7731,5594.6,8708.8,2791,5479.2,3753.9,4634.3,1465.2,3500,1926,5274.9,2315.3,1398.8,2862.9,3225.4,2101.8,9279.5,5824.4,3185.1,6832,935.1,8164.6,1331.3,5230.2,8873.4,8928
Little Italy,5777.1,3806.4,4915.2,4429,3563.9,0,5236,2930,4169.7,3352,1925.8,1397.4,820.8,5766.1,4242.9,4172.7,2723.9,7261.4,3851.2,2272.6,4953.9,4454.2,2009.7,1800.5,1739.2,2086.7,3711.4,3203.9,2685.9,1226.6,3919.8,2256.3,3059.9,3168.4,8032.7,3378.3,455.7,3076.4,1123.1,1187.2,2320.9,4424.1,4291.2,4150.6,1644.8,4347,2442.1,5969.4,5098,1756.5,1853,2750.7,4759.8,4145.9,1453.6,4572.2,4895.3,5962.2,3002,3384.2,1201,2391.8,2541.2,1368.2,2582.4,2836.7,5592.1,4862,3596,686.7,5231.5,6120.7,2555.6,1715.4,3609.9,4221.7,4895.8,3929.3,1961.4,5604.6,5769.2
Edgebrook,10640.9,1788.9,9732.3,9292.8,2074.1,5163.6,0,7793.8,2841,2942.5,6789.6,6261.2,4453.9,10629.9,9089.8,8989.8,7587.7,12125.2,7278.7,6872.2,8350.8,7019.5,6823.3,5025.8,3799.8,3413.4,8575.2,8021.5,3224.6,4283.4,2044.7,3772.6,7943.3,6562.8,12786.5,2081.1,5457.8,2568.7,5888.1,4525.3,3059.6,2440.7,3013.1,2268.8,3550,2085,3734.9,10833.2,9527.3,4251.5,5241.1,3596.7,8798.5,1084,6294.7,9326,7460.6,10300.7,3335.4,7414.3,5474.5,6226.2,3388.3,5079.5,3282.9,6866.8,1754.4,2620.6,3018.1,4820.4,1007.8,10874.5,7419.4,4600.4,8427,1682.5,9759.6,1391.2,6825.2,10468.4,10523
Kelly,3097.5,6446.4,2067.7,1820.3,6203.9,2937.7,7876,0,6369.7,6142.5,1130.1,1625.4,3602.2,2895,1371.8,1325.2,805.6,4390.3,2031.7,1620.2,2793.8,3807.3,1852.3,3869.2,4529.7,4877.2,1104.7,1700,5476.4,3882.7,6426.3,4391.8,899.2,2543.7,5033.8,6018.3,2544.4,5582.9,2295.6,3793.8,4960.9,6658,7081.7,6790.6,4284.8,6853.5,4731.6,3289.8,2486.6,4516.6,3588.3,5541.2,2599.2,6785.9,2240.1,2047.9,3410.2,3675.7,5291.5,1626.8,3076.3,2354.6,5331.7,3342.7,4882.4,1553.5,8232.1,7502,5787,3222.4,7871.5,3217.9,1068.9,4004.9,1050,6861.7,2068.9,6569.3,1648.3,2733.5,2949.2
Edgewater,9299.7,1580.4,8246,7951.6,3354.4,4118.3,2917.2,6452.6,0,4424.8,5448.4,4920,3555.2,9273.9,7603.5,7503.5,6246.5,10769.2,7322.7,5937.8,8425.4,7815.5,5337,3376.8,3623.1,3188.1,7234,6535.2,3707.3,3233.4,1072.6,2097.1,6962.8,6421.6,11259.4,2274.1,4393.9,1288.8,4565,4594.7,2757.4,751.2,4727.6,3996.4,2681.1,1036,1765.4,9492,8620.6,4532.1,5214.3,4951,8239.9,2641,4989.4,7798.9,8256.6,9877.9,1145.3,6855.7,3799,5863.3,4447.3,4729.5,1807.4,6308.2,4044.4,4407.3,761.5,3596.4,3771.7,9347.4,5964,2924.9,6940.7,3437.4,8418.4,2169.6,5402.7,9112.4,8995.9
North Austin,8232.6,3068.7,8119,7148,1184,3340.5,2776.9,6133.8,4514.6,0,5129.6,4563,2595.9,8969.9,7446.7,7376.5,5626.1,10002.1,4701,4739.1,5773.1,4283.8,5207.5,3753.7,1792.3,1792.2,6551.8,6401.7,936.1,2584,3703.4,2792.6,5810.2,3985.1,11257.9,2487.7,3642.4,3283.1,4348.3,2401.8,1868.6,4742.6,1010.9,1109.6,2149.9,4319,3376.4,8616.7,7374.3,1767.3,2756.9,679.4,6645.5,1833.5,4161.6,7797.4,4724.9,8147.7,3784.8,4918.1,3817.8,4073.2,891.7,2938.9,2919.8,4713.8,2836.8,1871.5,3965.7,3104.6,2751.6,9269.2,5759.4,3261.9,6813.7,1553.1,8035.2,2414.1,5159.2,8808.4,8994.4
